Date,Qobs,sim1,sim2
2000-01-02,18.0,24.92,24.86
2000-01-03,18.0,25.37,24.93
2000-01-04,29.0,24.63,24.35
2000-01-05,40.0,24.19,23.99
2000-01-06,40.0,24.19,24.01
2000-01-07,38.0,24.32,24.08
2000-01-08,33.0,24.03,23.8
2000-01-09,29.0,23.61,23.41
2000-01-10,28.0,23.16,23.0
2000-01-11,33.0,22.72,22.6
2000-01-12,38.0,22.29,22.19
2000-01-13,38.0,21.86,21.8
2000-01-14,38.0,21.44,21.4
2000-01-15,35.0,21.03,21.02
2000-01-16,32.0,20.62,20.64
2000-01-17,32.0,20.23,20.27
2000-01-18,35.0,20.21,20.25
2000-01-19,38.0,20.39,20.43
2000-01-20,38.0,20.25,20.27
2000-01-21,38.0,19.95,19.96
2000-01-22,37.0,19.6,19.61
2000-01-23,33.0,19.23,19.26
2000-01-24,30.0,18.86,18.92
2000-01-25,32.5,18.51,18.58
2000-01-26,37.5,18.15,18.25
2000-01-27,40.0,17.81,17.92
2000-01-28,40.0,17.47,17.6
2000-01-29,40.0,17.14,17.29
2000-01-30,41.0,16.81,16.98
2000-01-31,42.6,17.93,17.88
2000-02-01,54.2,25.67,23.18
2000-02-02,67.0,34.08,29.09
2000-02-03,74.9,42.08,35.51
2000-02-04,74.9,54.26,44.73
2000-02-05,72.3,47.97,41.1
2000-02-06,111.4,80.55,63.7
2000-02-07,143.0,102.2,79.09
2000-02-08,131.0,108.0,84.61
2000-02-09,125.5,118.4,93.3
2000-02-10,138.5,122.7,96.86
2000-02-11,135.0,106.4,85.16
2000-02-12,101.0,84.67,70.27
2000-02-13,77.5,74.69,64.44
2000-02-14,71.4,80.04,69.87
2000-02-15,65.35,74.93,65.52
2000-02-16,60.3,63.54,56.85
2000-02-17,58.7,56.75,52.41
2000-02-18,57.1,54.51,51.16
2000-02-19,53.1,51.2,48.57
2000-02-20,50.7,48.83,46.73
2000-02-21,50.7,47.03,45.28
2000-02-22,49.9,45.51,44.01
2000-02-23,48.3,44.14,42.85
2000-02-24,48.3,42.88,41.77
2000-02-25,49.1,41.71,40.75
2000-02-26,51.5,52.47,50.81
2000-02-27,53.9,63.82,59.95
2000-02-28,53.9,64.09,59.33
2000-02-29,54.7,60.57,55.77
2000-03-01,57.1,72.9,66.01
2000-03-02,62.85,84.63,74.29
2000-03-03,66.1,116.5,99.33
2000-03-04,62.75,85.98,72.33
2000-03-05,57.1,79.07,69.88
2000-03-06,53.9,63.74,57.93
2000-03-07,56.3,54.91,51.63
2000-03-08,66.35,68.09,64.79
2000-03-09,195.5,133.1,119.0
2000-03-10,693.5,278.6,232.1
2000-03-11,721.5,212.7,170.8
2000-03-12,273.0,147.4,119.2
2000-03-13,161.0,111.7,95.28
2000-03-14,154.5,91.07,81.51
2000-03-15,149.5,79.48,73.7
2000-03-16,132.5,86.3,82.44
2000-03-17,120.5,76.62,72.43
2000-03-18,102.8,68.5,65.76
2000-03-19,85.75,63.62,61.98
2000-03-20,79.25,60.41,59.4
2000-03-21,84.0,57.96,57.35
2000-03-22,98.25,56.27,56.0
2000-03-23,122.5,79.99,80.19
2000-03-24,148.0,131.5,124.3
2000-03-25,143.5,156.1,140.4
2000-03-26,129.0,175.1,154.7
2000-03-27,190.0,208.0,182.3
2000-03-28,331.5,275.1,240.3
2000-03-29,392.0,278.8,238.3
2000-03-30,377.5,255.9,220.8
2000-03-31,382.0,267.8,237.6
2000-04-01,283.0,238.7,207.5
2000-04-02,183.0,232.4,210.4
2000-04-03,222.0,300.5,273.2
2000-04-04,257.0,283.3,254.4
2000-04-05,270.5,276.5,253.8
2000-04-06,588.0,771.1,674.6
2000-04-07,676.5,544.3,486.1
2000-04-08,339.0,330.7,292.6
2000-04-09,179.5,217.1,195.6
2000-04-10,147.0,161.9,151.4
2000-04-11,168.5,142.1,140.0
2000-04-12,183.0,149.7,156.4
2000-04-13,179.0,186.8,198.1
2000-04-14,186.0,219.3,217.7
2000-04-15,173.5,237.7,230.9
2000-04-16,153.0,257.9,250.3
2000-04-17,155.5,275.7,262.6
2000-04-18,170.5,256.0,243.6
2000-04-19,174.5,244.5,237.7
2000-04-20,178.5,238.6,229.2
2000-04-21,184.5,217.1,204.5
2000-04-22,150.5,185.7,175.4
2000-04-23,108.6,158.3,151.7
2000-04-24,99.05,138.2,134.5
2000-04-25,111.5,124.2,123.0
2000-04-26,162.5,135.4,151.3
2000-04-27,187.5,162.0,168.0
2000-04-28,163.5,152.6,150.7
2000-04-29,138.5,132.4,130.9
2000-04-30,109.6,115.2,115.1
2000-05-01,94.3,102.5,103.3
2000-05-02,91.45,93.4,94.73
2000-05-03,95.25,86.04,87.44
2000-05-04,101.0,79.21,81.34
2000-05-05,116.0,74.07,77.3
2000-05-06,105.5,70.93,75.01
2000-05-07,80.1,69.11,73.35
2000-05-08,73.1,67.5,71.7
2000-05-09,83.5,66.07,70.61
2000-05-10,93.35,65.33,69.82
2000-05-11,93.35,65.19,70.73
2000-05-12,99.05,65.93,71.17
2000-05-13,89.55,64.19,68.18
2000-05-14,74.9,61.64,65.47
2000-05-15,65.35,59.57,63.47
2000-05-16,72.4,57.93,61.9
2000-05-17,81.05,56.58,60.6
2000-05-18,72.2,55.44,59.48
2000-05-19,66.1,54.46,58.5
2000-05-20,69.6,54.06,60.04
2000-05-21,69.6,55.47,64.06
2000-05-22,62.85,56.33,64.9
2000-05-23,85.85,57.47,69.63
2000-05-24,110.5,62.79,76.66
2000-05-25,95.45,66.02,76.85
2000-05-26,78.45,64.62,73.06
2000-05-27,68.75,61.66,68.82
2000-05-28,63.5,58.36,64.45
2000-05-29,65.25,55.2,60.66
2000-05-30,84.5,54.12,60.96
2000-05-31,93.4,55.03,63.43
2000-06-01,79.4,55.43,63.34
2000-06-02,70.5,54.84,62.27
2000-06-03,65.25,53.2,59.62
2000-06-04,60.3,51.1,56.45
2000-06-05,54.7,49.22,54.21
2000-06-06,53.9,47.82,52.73
2000-06-07,60.35,46.84,51.82
2000-06-08,69.6,46.3,51.67
2000-06-09,72.25,45.84,51.4
2000-06-10,70.5,45.19,50.43
2000-06-11,63.0,44.41,49.32
2000-06-12,52.3,43.6,48.33
2000-06-13,51.5,42.88,47.55
2000-06-14,55.5,42.24,46.78
2000-06-15,60.3,41.69,46.57
2000-06-16,80.8,41.51,47.81
2000-06-17,93.35,41.48,48.82
2000-06-18,81.3,41.43,49.3
2000-06-19,68.75,41.33,49.29
2000-06-20,59.5,40.98,48.44
2000-06-21,54.7,40.28,46.65
2000-06-22,53.9,39.35,44.7
2000-06-23,50.7,38.5,43.32
2000-06-24,49.1,37.84,42.55
2000-06-25,53.9,37.37,42.14
2000-06-26,58.7,37.08,42.52
2000-06-27,61.1,37.05,43.43
2000-06-28,60.3,37.04,43.91
2000-06-29,53.9,36.9,43.75
2000-06-30,50.7,36.54,42.99
2000-07-01,51.5,36.02,41.92
2000-07-02,46.25,35.35,40.58
2000-07-03,41.8,34.67,39.46
2000-07-04,40.4,34.17,38.91
2000-07-05,39.0,33.82,38.75
2000-07-06,40.4,33.44,38.33
2000-07-07,40.4,32.86,37.35
2000-07-08,41.1,32.21,36.42
2000-07-09,46.15,31.81,36.12
2000-07-10,52.3,31.77,36.78
2000-07-11,46.55,31.75,37.23
2000-07-12,35.55,31.57,36.97
2000-07-13,38.35,31.37,36.74
2000-07-14,42.5,31.15,36.52
2000-07-15,37.65,30.77,35.89
2000-07-16,39.1,30.38,35.32
2000-07-17,86.35,30.71,36.85
2000-07-18,170.0,33.18,41.57
2000-07-19,183.0,35.84,44.57
2000-07-20,141.0,37.53,45.35
2000-07-21,119.0,37.96,44.82
2000-07-22,99.3,37.39,43.48
2000-07-23,89.55,37.31,43.22
2000-07-24,85.75,37.65,43.65
2000-07-25,87.65,37.26,42.97
2000-07-26,82.4,35.86,40.94
2000-07-27,79.55,34.5,39.47
2000-07-28,82.2,33.9,39.34
2000-07-29,163.9,33.59,39.21
2000-07-30,448.5,43.81,50.92
2000-07-31,561.0,54.14,60.09
2000-08-01,422.5,59.26,62.42
2000-08-02,301.0,59.67,61.35
2000-08-03,195.5,56.48,57.65
2000-08-04,124.7,52.52,54.05
2000-08-05,84.1,49.42,51.81
2000-08-06,73.15,46.4,49.25
2000-08-07,106.3,44.48,48.82
2000-08-08,153.5,55.99,62.1
2000-08-09,151.0,66.31,68.08
2000-08-10,129.0,66.04,65.01
2000-08-11,114.5,60.71,59.99
2000-08-12,97.35,54.67,54.79
2000-08-13,78.6,49.3,50.29
2000-08-14,72.25,44.91,46.85
2000-08-15,72.25,41.6,44.18
2000-08-16,67.0,39.18,42.04
2000-08-17,61.9,37.4,40.49
2000-08-18,60.3,36.07,39.34
2000-08-19,56.3,35.03,38.43
2000-08-20,49.9,34.18,37.65
2000-08-21,46.1,33.46,36.96
2000-08-22,43.25,32.82,36.34
2000-08-23,41.1,32.26,35.79
2000-08-24,39.0,31.77,35.28
2000-08-25,35.55,31.31,34.78
2000-08-26,33.5,30.91,34.42
2000-08-27,33.5,30.69,34.34
2000-08-28,32.85,30.48,34.18
2000-08-29,31.55,30.09,33.65
2000-08-30,34.95,29.78,33.36
2000-08-31,36.25,29.6,33.33
2000-09-01,34.2,29.52,33.6
2000-09-02,39.8,29.65,34.27
2000-09-03,43.25,29.66,34.33
2000-09-04,40.4,29.56,34.13
2000-09-05,37.65,29.53,34.22
2000-09-06,41.9,29.67,34.64
2000-09-07,47.5,29.86,34.99
2000-09-08,43.95,29.72,34.58
2000-09-09,38.35,29.21,33.59
2000-09-10,36.3,28.45,32.28
2000-09-11,34.25,27.63,31.0
2000-09-12,31.55,26.86,29.95
2000-09-13,29.6,26.17,29.12
2000-09-14,28.3,25.56,28.43
2000-09-15,28.3,25.06,27.97
2000-09-16,28.3,24.66,27.64
2000-09-17,34.35,24.37,27.49
2000-09-18,42.55,24.65,28.68
2000-09-19,41.15,25.44,30.58
2000-09-20,38.3,26.04,31.51
2000-09-21,41.85,26.3,31.64
2000-09-22,44.7,26.39,31.56
2000-09-23,46.1,26.57,31.83
2000-09-24,45.35,26.69,31.97
2000-09-25,43.95,26.59,31.7
2000-09-26,40.5,26.28,31.07
2000-09-27,34.25,25.79,30.19
2000-09-28,31.55,25.14,29.12
2000-09-29,32.2,24.4,27.93
2000-09-30,34.2,23.58,26.69
2000-10-01,32.9,22.73,25.45
2000-10-02,32.2,21.97,24.51
2000-10-03,36.95,21.42,23.93
2000-10-04,40.4,21.13,23.87
2000-10-05,40.4,21.02,24.05
2000-10-06,40.4,20.78,23.8
2000-10-07,38.35,20.45,23.29
2000-10-08,34.25,20.12,22.8
2000-10-09,32.2,19.78,22.32
2000-10-10,35.6,19.44,21.85
2000-10-11,39.7,19.1,21.43
2000-10-12,40.4,18.78,21.04
2000-10-13,40.4,18.46,20.68
2000-10-14,40.4,18.16,20.33
2000-10-15,38.35,17.86,19.98
2000-10-16,34.25,17.57,19.64
2000-10-17,29.6,17.28,19.32
2000-10-18,25.9,17.02,19.04
2000-10-19,24.8,16.81,18.86
2000-10-20,26.55,16.64,18.77
2000-10-21,26.0,16.5,18.72
2000-10-22,23.7,16.37,18.62
2000-10-23,23.7,16.25,18.46
2000-10-24,24.25,16.11,18.24
2000-10-25,23.15,15.96,18.0
2000-10-26,21.0,15.78,17.73
2000-10-27,21.55,15.64,17.63
2000-10-28,21.55,15.62,17.8
2000-10-29,20.02,15.64,17.98
2000-10-30,20.5,15.6,18.0
2000-10-31,21.0,15.51,17.89
2000-11-01,20.5,15.39,17.68
2000-11-02,19.5,15.36,17.79
2000-11-03,18.0,15.48,18.25
2000-11-04,17.5,15.59,18.55
2000-11-05,19.5,15.81,19.14
2000-11-06,21.5,16.2,20.04
2000-11-07,21.5,16.57,20.71
2000-11-08,21.5,16.94,21.38
2000-11-09,22.6,17.36,22.05
2000-11-10,24.25,17.83,22.73
2000-11-11,25.9,18.41,23.43
2000-11-12,27.65,19.12,23.92
2000-11-13,27.1,19.73,24.07
2000-11-14,24.8,19.99,24.01
2000-11-15,23.7,20.06,23.85
2000-11-16,23.15,20.09,23.85
2000-11-17,22.6,20.45,24.49
2000-11-18,23.15,20.94,25.1
